Title,Authors,Journal/Conference,Year,Citations
"Validation of the Beirut Distress Scale (BDS‐10), a short version of BDS‐22, to assess psychological distress among the Lebanese population","D Malaeb, Y Farchakh, C Haddad, H Sacre, S Obeid, S Hallit, P Salameh","Perspectives in Psychiatric Care 58 (1), 304-313",2022,34
Prevalence and factors associated with insomnia among a representative sample of the Lebanese population: results of a cross-sectional study,"G Al Karaki, S Hallit, D Malaeb, N Kheir, H Sacre, P Salameh, R Hallit","Journal of epidemiology and global health 10 (2), 124-130",2020,34
High body mass index and allergies in schoolchildren: the French six cities study,"D Saadeh, P Salameh, D Caillaud, D Charpin, F de Blay, C Kopferschmitt, ...","BMJ open respiratory research 1 (1), e000054",2014,34
The nutrient profile of traditional Lebanese composite dishes: comparison with composite dishes consumed in France,"C Issa, P Salameh, M Batal, F Vieux, D Lairon, N Darmon","International journal of food sciences and nutrition 60 (sup4), 285-295",2009,34
"Mental health awareness of secondary schools students: Mediating roles of knowledge on mental health, knowledge on professional help, and attitude towards mental health","JE Lee, ML Goh, SF Yeo",Heliyon 9 (3),2023,33
Unhealthy behavior and risk of hypertension: the CONSTANCES population-based cohort,"M Cherfan, A Vallee, S Kab, P Salameh, M Goldberg, M Zins, J Blacher","Journal of hypertension 37 (11), 2180-2189",2019,33
Mandatory continuing education for pharmacists in a developing country: assessment of a three-year cycle,"H Sacre, S Tawil, S Hallit, G Sili, P Salameh",Pharmacy Practice (Granada) 17 (3),2019,33
Attitudes towards and practice of sexuality among university students in Lebanon,"P Salameh, R Zeenny, J Salamé, M Waked, B Barbour, N Zeidan, I Baldi","Journal of biosocial science 48 (2), 233-248",2016,33
Risk factors and quality of life of dyslipidemic patients in Lebanon: a cross-sectional study,"A Farhat, A Al-Hajje, S Rachidi, S Zein, MB Zeid, P Salameh, W Bawab, ...","Journal of epidemiology and global health 6 (4), 315-323",2016,33
"Association between problematic social media use and memory performance in a sample of Lebanese adults: the mediating effect of anxiety, depression, stress and insomnia","M Dagher, Y Farchakh, S Barbar, C Haddad, M Akel, S Hallit, S Obeid","Head & Face Medicine 17, 1-12",2021,32
Factors associated with violence against women in a representative sample of the Lebanese population: results of a cross-sectional study,"C Rahme, C Haddad, M Akel, C Khoury, H Obeid, S Obeid, S Hallit","Archives of women's mental health 24 (1), 63-72",2021,32
Association between parental separation and addictions in adolescents: results of a National Lebanese Study,"N Jabbour, V Abi Rached, C Haddad, P Salameh, H Sacre, R Hallit, ...","BMC Public Health 20, 1-8",2020,32
Work fatigue among Lebanese community pharmacists: prevalence and correlates,"D Rahme, N Lahoud, H Sacre, M Akel, S Hallit, P Salameh",Pharmacy Practice (Granada) 18 (2),2020,32
Combined effect of physical activity and sedentary behavior on body composition in university students,"M Harmouche-Karaki, M Mahfouz, Y Mahfouz, N Fakhoury-Sayegh, ...","Clinical Nutrition 39 (5), 1517-1524",2020,32
Direct medical cost of hospitalization for acute stroke in Lebanon: a prospective incidence-based multicenter cost-of-illness study,"RR Abdo, HM Abboud, PG Salameh, NA Jomaa, RG Rizk, HH Hosseini","INQUIRY: The Journal of Health Care Organization, Provision, and Financing …",2018,32
Pharmacy manpower in Lebanon: An exploratory look at work-related satisfaction,"P Salameh, I Hamdan","Research in Social and Administrative Pharmacy 3 (3), 336-350",2007,32
Acceptance of prenatal diagnosis for genetic disorders in Lebanon,"L Zahed, M Nabulsi, M Bou‐Ghanim, I Usta",Prenatal Diagnosis: Published in Affiliation With the International Society …,1999,32
"Emotional eating among Lebanese adults: scale validation, prevalence and correlates","C Rahme, S Obeid, H Sacre, C Haddad, R Hallit, P Salameh, S Hallit","Eating and Weight Disorders-Studies on Anorexia, Bulimia and Obesity 26 …",2021,31
Correlation of types of food and asthma diagnosis in childhood: a case–control study,"S Hallit, C Raherison, R Abou Abdallah, R Hallit, P Salameh","Journal of Asthma 55 (9), 966-974",2018,31
Effect of exclusive cigarette smoking and in combination with waterpipe smoking on lipoproteins,"S Hallit, M Zoghbi, R Hallit, L Youssef, R Costantine, N Kheir, P Salameh","Journal of epidemiology and global health 7 (4), 269-275",2017,31
Prevalence of stroke symptoms among stroke-free residents: first national data from Lebanon,"R Farah, RK Zeidan, MN Chahine, R Asmar, R Chahine, P Salameh, ...","International Journal of Stroke 10 (SA100), 83-88",2015,31
Correlates of COPD and chronic bronchitis in nonsmokers: data from a cross-sectional study,"M Waked, J Salame, G Khayat, P Salameh","International journal of chronic obstructive pulmonary disease, 577-585",2012,31
"Fatigue in breast cancer patients on chemotherapy: a cross-sectional study exploring clinical, biological, and genetic factors","A Hajj, R Chamoun, P Salameh, R Khoury, R Hachem, H Sacre, ...","BMC cancer 22, 1-11",2022,30
The relation of orthorexia with lifestyle habits: Arabic versions of the Eating Habits Questionnaire and the Dusseldorf Orthorexia Scale,"S Hallit, JR Barrada, P Salameh, H Sacre, M Roncero, S Obeid","Journal of Eating Disorders 9, 1-12",2021,30
Correlates of bullying perpetration among Lebanese adolescents: a national study,"E Awad, C Haddad, H Sacre, R Hallit, M Soufia, P Salameh, S Obeid, ...","BMC pediatrics 21 (1), 204",2021,30
Mortality and predictors of death poststroke: data from a multicenter prospective cohort of Lebanese stroke patients,"R Abdo, H Abboud, P Salameh, T El Hajj, H Hosseini","Journal of Stroke and Cerebrovascular Diseases 28 (4), 859-868",2019,30
"The AAA risk factors scale: a new model to screen for the risk of asthma, allergic rhinitis and atopic dermatitis in children","S Hallit, C Raherison, D Malaeb, R Hallit, N Kheir, P Salameh","Medical Principles and Practice 27 (5), 472-480",2018,30
Serum cytokine profiles as predictors of asthma control in adults from the EGEA study,"Z Akiki, M Rava, OD Gil, I Pin, N Le Moual, V Siroux, S Guerra, S Chamat, ...","Respiratory medicine 125, 57-64",2017,30
"Surfactant protein D, a clinical biomarker for chronic obstructive pulmonary disease with excellent discriminant values","Z Akiki, D Fakih, R Jounblat, S Chamat, M Waked, U Holmskov, ...","Experimental and therapeutic medicine 11 (3), 723-730",2016,30
Acceptance of preimplantation genetic diagnosis for β‐thalassemia in Lebanese women with previously affected children,"C Farra, AH Nassar, IM Usta, P Salameh, M Souaid, J Awwad",Prenatal Diagnosis: Published in Affiliation With the International Society …,2008,30
Effect of screen time on physical and mental health and eating habits during COVID-19 lockdown in Lebanon,"AN Kamaleddine, HA Antar, BT Abou Ali, SF Hammoudi, J Lee, T Lee, ...","Psychiatry investigation 19 (3), 220",2022,29
The first life skills intervention to enhance well-being amongst university students in the Arab world:‘Khotwa’pilot study,"D Maddah, Y Saab, H Safadi, N Abi Farraj, Z Hassan, S Turner, ...","Health Psychology Open 8 (1), 20551029211016955",2021,29
Differences in the associations between body dissatisfaction and eating outcomes by gender? A Lebanese population study,"M Zakhour, C Haddad, H Sacre, C Tarabay, RK Zeidan, M Akel, R Hallit, ...","Revue d'epidemiologie et de sante publique 69 (3), 134-144",2021,29
Clinical preceptor competencies for a better pharmacy education: a suggested framework for Lebanon,"A Zeitoun, H Sacre, S Hallit, RM Zeenny, G Sili, P Salameh","Journal of pharmaceutical policy and practice 13 (1), 21",2020,29
Determinants of exclusive and mixed breastfeeding durations and risk of recurrent illnesses in toddlers attending day care programs across Lebanon,"L Mattar, M Hobeika, RK Zeidan, P Salameh, C Issa","Journal of pediatric nursing 45, e24-e34",2019,29
Stroke in the Arab World: A bibliometric analysis of research activity (2002–2016),"HA Salhab, P Salameh, H Hajj, H Hosseini","ENeurologicalSci 13, 40-45",2018,29
"Medication safety knowledge, attitudes and practices among community pharmacists in Lebanon","A Hajj, S Hallit, E Ramia, P Salameh, ...","Current Medical Research and Opinion 34 (1), 149-156",2018,29
Exposure to outdoor air pollution and chronic bronchitis in adults: a case-control study,"P Salameh, J Salame, G Khayat, A Akhdar, C Ziadeh, S Azizi, F Khoury, ...","INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE 3 (4), 165-177",2012,29
"Investigating incidence, correlates, and consequences of child marriage among Syrian refugees residing in the south of Lebanon: a cross-sectional study","S Elnakib, G El Khoury, P Salameh, H Sacre, L Abirafeh, WC Robinson, ...","Journal of Adolescent Health 70 (3), S64-S71",2022,28
Association between impulsivity and orthorexia nervosa: any moderating role of maladaptive personality traits?,"E Awad, S Obeid, H Sacre, P Salameh, J Strahler, S Hallit","Eating and Weight Disorders-Studies on Anorexia, Bulimia and Obesity, 1-11",2022,28
Impact of pharmacist‐led interventions on patient care in ambulatory care settings: A systematic review,"C Bou Malham, S El Khatib, P Cestac, S Andrieu, L Rouch, P Salameh","International Journal of Clinical Practice 75 (11), e14864",2021,28
Correlates of self-esteem among the Lebanese population: a cross-sectional study,"S Obeid, C Haddad, M Zakhour, K Fares, M Akel, P Salameh, S Hallit","Psychiatria Danubina 31 (4), 429-439",2019,28
Impact of sleep disorders and other factors on the quality of life in general population: a cross-sectional study,"S Hallit, A Hajj, H Sacre, G Al Karaki, D Malaeb, N Kheir, P Salameh, ...","The Journal of Nervous and Mental Disease 207 (5), 333-339",2019,28
Cigarette and waterpipe smoking are associated with the risk of stroke in Lebanon,"M El-Hajj, P Salameh, S Rachidi, A Al-Hajje, H Hosseini","Journal of epidemiology and global health 9 (1), 62-70",2019,28
Outdoor Air Pollution and Cardiovascular Diseases in Lebanon: A Case‐Control Study,"Z Nasser, P Salameh, H Dakik, E Elias, L Abou Abbas, A Levêque","Journal of environmental and public health 2015 (1), 810846",2015,28
Carbon monoxide and respiratory symptoms in young adult passive smokers: a pilot study comparing waterpipe to cigarette,"RK Zeidan, S Rachidi, S Awada, A El Hajje, W El Bawab, J Salamé, ...",International journal of occupational medicine and environmental health 27 …,2014,28
Medication prescribing errors: data from seven Lebanese hospitals.,"A Al-Hajje, S Awada, S Rachidi, NB Chahine, R Azar, S Zein, AM Hneine, ...","Le Journal medical libanais. The Lebanese medical journal 60 (1), 37-44",2012,28
Risk factors for asthma and allergic diseases in school children across Lebanon,"M Waked, P Salameh","Journal of asthma and allergy, 1-7",2008,28
"Asthma, allergic rhinitis and eczema in 13-14-year-old schoolchildren across Lebanon.","M Waked, P Salameh","Le Journal Medical libanais. The Lebanese Medical Journal 54 (4), 181-190",2006,28
"Medication safety knowledge, attitude, and practice among hospital pharmacists in Lebanon","S Hallit, A Hajj, P Shuhaiber, K Iskandar, E Ramia, H Sacre, P Salameh, ...","Journal of evaluation in clinical practice 25 (2), 323-339",2019,27
Prevalence and risk factors of hypertension: A nationwide cross‐sectional study in Lebanon,"M Cherfan, J Blacher, R Asmar, MN Chahine, RK Zeidan, R Farah, ...","The Journal of Clinical Hypertension 20 (5), 867-879",2018,27
Maternal waterpipe smoke exposure and the risk of asthma and allergic diseases in childhood: A post hoc analysis,"M Waked, P Salameh",International journal of occupational medicine and environmental health 28 …,2015,27
The AVAIL ME Extension: a multinational Middle Eastern survey of venous thromboembolism risk and prophylaxis,"M Mokhtari, P Salameh, M Kouchek, BS Kashani, A Taher, M Waked, ...","Journal of Thrombosis and Haemostasis 9 (7), 1340-1349",2011,27
Menstrual abnormalities post-COVID vaccination: a cross-sectional study on adult Lebanese women,"AA Dabbousi, J El Masri, LM El Ayoubi, O Ismail, B Zreika, P Salameh","Irish Journal of Medical Science (1971-) 192 (3), 1163-1170",2023,26
The benefit of complete response to treatment in patients with chronic spontaneous urticaria—CURE results,"P Kolkhir, PA Laires, P Salameh, R Asero, M Bizjak, M Košnik, ...","The Journal of Allergy and Clinical Immunology: In Practice 11 (2), 610-620. e5",2023,26
"A cross-sectional survey on community pharmacists readiness to fight COVID-19 in a developing country: knowledge, attitude, and practice in Lebanon","RM Zeenny, A Dimassi, H Sacre, G El Khoury, A Hajj, R Farah, H Hajj, ...","Journal of pharmaceutical policy and practice 14, 1-13",2021,26
Psychological complications at 3 months following stroke: prevalence and correlates among stroke survivors in Lebanon,"W Khazaal, M Taliani, C Boutros, L Abou-Abbas, H Hosseini, P Salameh, ...","Frontiers in Psychology 12, 663267",2021,26
Emotion regulation among Lebanese adults: Validation of the Emotion Regulation Questionnaire and association with attachment styles.,"RM Kahwagi, RK Zeidan, C Haddad, R Hallit, H Sacre, N Kheir, ...",Perspectives in psychiatric care 57 (2),2021,26
Comparing cigarette smoking knowledge and attitudes among smokers and non-smokers,"C Haddad, H Sacre, A Hajj, N Lahoud, Z Akiki, M Akel, D Saade, ...","Environmental Science and Pollution Research 27 (16), 19352-19362",2020,26
Diet and asthma in Lebanese schoolchildren: A cross‐sectional study,"D Malaeb, S Hallit, H Sacre, B Malaeb, R Hallit, P Salameh","Pediatric pulmonology 54 (6), 688-697",2019,26
